Dataset,LLM,Method,NF,LF,Succ,NH-1,NH-2,LH-1,LH-2
huggingface,Mistral-7B-graph-0909,GraphToken_SAGE,0.7215,0.4348,26.65,0.0234,0.0802,0.1749,0.3267
huggingface,Mistral-7B_centrality-0911,GraphToken_SAGE,0.6672,0.4128,23.99,0.0253,0.0766,0.163,0.2681
huggingface,Mistral-7B_graph-0911-2,GraphToken_SAGE,0.6819,0.3663,22.0,0.0526,0.174,0.2324,0.392
huggingface,Mistral-7B_graph-0911,GraphToken_SAGE,0.6827,0.3672,22.74,0.0594,0.2012,0.2484,0.4105
huggingface,Mistral-7B_node-0911,GraphToken_SAGE,0.7369,0.4865,31.93,0.0248,0.0863,0.1065,0.1908
huggingface,Mistral-7B_diffpool_fp32_0_0913,GraphToken_SAGE,0.6848,0.4032,25.2,0.0409,0.132,0.1518,0.266
huggingface,Mistral-7B_graph_fp32_0_0913,GraphToken_SAGE,0.7276,0.4442,28.51,0.0256,0.0843,0.1609,0.2892
huggingface,Mistral-7B_node_fp32_0_0913,GraphToken_SAGE,0.7342,0.4648,30.72,0.0376,0.1325,0.161,0.2831
huggingface,Mistral-7B_diffpool_fp32_1_0913,GraphToken_SAGE,0.6989,0.4085,24.9,0.0456,0.1526,0.1538,0.259
huggingface,Mistral-7B_graph_fp32_1_0913,GraphToken_SAGE,0.7163,0.4361,26.91,0.0254,0.0904,0.1699,0.3213
huggingface,Mistral-7B_node_fp32_1_0913,GraphToken_SAGE,0.7375,0.4634,30.46,0.0341,0.1162,0.1517,0.2786
huggingface,Mistral-7B_diffpool_0shot_s1_0913,GraphToken_SAGE,0.7199,0.4439,25.92,0.0205,0.0735,0.1555,0.3163
huggingface,Mistral-7B_centrality_0shot_s2_0913,GraphToken_SAGE,0.6716,0.3734,22.02,0.0457,0.1394,0.1948,0.3798
huggingface,Mistral-7B_diffpool_0shot_s4_0914,GraphToken_SAGE,0.6928,0.3896,24.7,0.0234,0.0783,0.171,0.3474
